Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 400, 0
check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY
43929405, 273031, 42153, 475175, 48340, 246918, 802256, 15667664
39881810, 176322, 33121, 313512, 34976, 149583, 400798, 11210035
43121791, 156656, 30302, 309084, 28952, 126836, 375962, 10569634
33197563, 185624, 35948, 238155, 36883, 17168, 339312, 12067043
31441094, 88060, 16868, 125432, 15563, 65732, 155970, 7609065
36953678, 122221, 23686, 198638, 23386, 96977, 257403, 13522288
30206047, 82158, 15913, 120331, 13826, 68362, 140677, 6986471
38213984, 333753, 39785, 348958, 39404, 250085, 454967, 9657965
33409877, 374518, 33031, 294814, 38447, 145813, 448531, 9205132
34253766, 166372, 32946, 310685, 35471, 89201, 417525, 10822489
32474158, 164238, 29032, 257323, 35452, 137859, 287742, 13772580
40939474, 114527, 17357, 151572, 13585, 64649, 138875, 8470154
36140677, 160358, 33536, 359949, 31779, 135726, 457536, 11526703
32013290, 151084, 30789, 206086, 29091, 15117, 278990, 8851342
34956296, 152932, 31326, 206717, 31609, 15118, 279183, 12036033
42659238, 81935, 16173, 127572, 14784, 37950, 154484, 8649310
36192115, 177165, 43793, 319237, 35521, 17520, 519026, 10433037
32712241, 108781, 21974, 178059, 20889, 85750, 281254, 12291037
43216590, 141075, 29501, 244668, 29116, 125369, 299526, 12068175
42560501, 85868, 18632, 116531, 15231, 14542, 128455, 5279707
39551203, 280098, 39118, 347335, 44540, 200316, 656873, 13218922
40914734, 146567, 35824, 318331, 37484, 149778, 329023, 11234620
43222380, 81730, 17162, 124957, 15313, 66349, 142515, 9516139
35277202, 168946, 33230, 310074, 35582, 157917, 474413, 12419872
41967987, 81979, 16421, 154149, 16167, 7599, 144092, 3647527
41037513, 198142, 39028, 397949, 40206, 163905, 430572, 12292992
41914535, 106333, 23207, 189327, 20613, 95985, 220025, 9632130
